"article_id","title","link","pub_date","summary","categories","media_url"
104,"A classic Hamptons home, cliffside Beverly Hills bungalow and mansion-sized Manhattan townhouse: This week’s real estate roundup","https://qz.com/most-fabulous-real-estate-listings-oct-2024-1851666947","2024-10-07 17:58:00","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/5c7b422cd1d4376df2c5bd5cab800146.jpg"" /><p>Each week Quartz highlights the most luxurious real estate listings across the country. These properties feature remarkable views, enviable locations, and lavish amenities — and they’re all on the market right now. Check out the best homes that are available with upcoming open houses.<br /></p><p><a href=""https://qz.com/most-fabulous-real-estate-listings-oct-2024-1851666947"">Read more...</a></p>","[""real estate"", ""apartment"", ""le palais beverly hills"", ""frank lloyd wright"", ""truman aldrich"", ""russell barr williamson"", ""hospitality recreation"", ""alfred browning parker""]","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/5c7b422cd1d4376df2c5bd5cab800146.jpg"
105,"Trump Media stock spikes 15% after Elon Musk came to a campaign rally","https://qz.com/trump-media-djt-elon-musk-campaign-rally-butler-1851666928","2024-10-07 17:46:23","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/c44a202c802d764879de499d29565f49.jpg"" /><p><a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/trump-media-djt-stock-chart-market-cap-truth-social-1851430157?_gl=1*1gzgwni*_ga*MTY1NjQyMDgwNC4xNzIxMDcwOTUy*_ga_V4QNJTT5L0*MTcyODMxOTg5MS4yNTkuMC4xNzI4MzE5ODkzLjU4LjAuMA.."" rel=""noopener noreferrer"" target=""_blank"">Trump Media & Technology Group</a> stock spiked more than 15% Monday after Tesla (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/TSLA"" rel=""noopener noreferrer"" target=""_blank"">TSLA</a>) and SpaceX chief Elon Musk <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.politico.com/news/2024/10/05/elon-musk-trump-butler-rally-00182615"" rel=""noopener noreferrer"" target=""_blank"">appeared next to former President Donald Trump</a> at a campaign rally Saturday.<br /></p><p><a href=""https://qz.com/trump-media-djt-elon-musk-campaign-rally-butler-1851666928"">Read more...</a></p>","[""elon musk"", ""business finance"", ""tesla"", ""trump media technology group"", ""donald trump"", ""politics"", ""trumpism"", ""planned presidential transition of donald trump"", ""spacex"", ""kamala harris"", ""time person of the year"", ""truth social"", ""conservatism in the united states"", ""views of elon musk"", ""qanon"", ""the trump organization"", ""freedom of speech""]","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/c44a202c802d764879de499d29565f49.jpg"
106,"Panera Bread settled a Charged Lemonade lawsuit after a student's death","https://qz.com/panera-settles-lawsuit-death-charged-lemonade-1851666844","2024-10-07 17:24:26","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/e73238ef5af36a137eb5afbe7f22b301.jpg"" /><p>Panera Bread has reached an agreement with the family of an Ivy League student who tragically passed away after consuming its <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/panera-charged-up-lemonade-lawsuits-1851461401?_gl=1*mfrlcd*_ga*MTkzNTUxMDgwMy4xNzI0MjQ2NjI3*_ga_V4QNJTT5L0*MTcyODMxMDQzMS44NS4xLjE3MjgzMTgxNDAuNjAuMC4w"" rel=""noopener noreferrer"" target=""_blank"">now-discontinued Charged Lemonade</a>, as first <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.nbcnews.com/news/us-news/panera-settles-first-plaintiff-charged-lemonade-wrongful-death-suits-rcna174244"" rel=""noopener noreferrer"" target=""_blank"">reported</a> by NBC News (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/CMCSA"" rel=""noopener noreferrer"" target=""_blank"">CMCSA</a>). </p><p><a href=""https://qz.com/panera-settles-lawsuit-death-charged-lemonade-1851666844"">Read more...</a></p>","[""panera bread"", ""lemonade"", ""fast casual restaurants"", ""restaurant franchises"", ""caffeine"", ""four loko"", ""energy drinks"", ""caffeinated drink"", ""culture of st louis"", ""alcopops"", ""law crime"", ""sarah katz"", ""elizabeth crawford"", ""ivy league"", ""v""]","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/e73238ef5af36a137eb5afbe7f22b301.jpg"
107,"Tesla Cybertrucks are still being insured by Geico — despite claims otherwise","https://qz.com/tesla-cybertruck-geico-insurance-evs-elon-musk-1851666695","2024-10-07 17:20:10","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/9846be04a6b746c04929a59b9eaa597d.jpg"" /><p>Geico (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/BRK.A"" rel=""noopener noreferrer"" target=""_blank"">BRK.A</a>) on Monday denied that it has stopped underwriting Tesla’s (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/TSLA"" rel=""noopener noreferrer"" target=""_blank"">TSLA</a>) Cybertruck electric pickups after claims circulated on social media and <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.cybertruckownersclub.com/forum/threads/geico-cancelling-all-cybertruck-insurance-policies-what.24927/"" rel=""noopener noreferrer"" target=""_blank"">enthusiast forums</a>.</p><p><a href=""https://qz.com/tesla-cybertruck-geico-insurance-evs-elon-musk-1851666695"">Read more...</a></p>","[""tesla"", ""tesla cybertruck"", ""rivian"", ""robert stevenson"", ""electric pickup"", ""tesla inc"", ""gmc"", ""general motors"", ""musk"", ""ford motor"", ""elon musk""]","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/9846be04a6b746c04929a59b9eaa597d.jpg"
108,"Boeing is restarting talks to end a strike some compare to an economic Hurricane Helene","https://qz.com/boeing-strike-negotiations-act-of-god-1851666732","2024-10-07 17:10:00","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/d87cb7e4a4775685ef265d4b4f06a837.jpg"" /><p>Boeing (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/BA"" rel=""noopener noreferrer"" target=""_blank"">BA</a>) is back at the table with the machinists who <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/boeing-machinis-union-labor-strike-contract-wages-1851647608"" rel=""noopener noreferrer"" target=""_blank"">have been on strike</a> for more than three weeks. Some economy observers are comparing the work stoppage’s impact to that of Hurricane Helene.</p><p><a href=""https://qz.com/boeing-strike-negotiations-act-of-god-1851666732"">Read more...</a></p>","[""boeing"", ""disaster accident"", ""international transport workers federation"", ""boeing machinists strike"", ""international association of machinists and aerospace workers"", ""boeing south carolina"", ""aerospace"", ""labor"", ""federal mediation and conciliation service"", ""international federation of building and wood workers"", ""international association"", ""international metalworkers federation""]","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/d87cb7e4a4775685ef265d4b4f06a837.jpg"
109,"Who really created Bitcoin? A new HBO documentary claims it has the answer","https://qz.com/hbo-documentary-bitcoin-creator-satoshi-nakamoto-1851666819","2024-10-07 16:40:00","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/24a7fc9a9e3fa9eac8b8381fae5cb121.jpg"" /><p><a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.hbo.com/movies/money-electric-the-bitcoin-mystery"" rel=""noopener noreferrer"" target=""_blank"">“Money Electric: The Bitcoin Mystery,”</a> a new documentary from HBO (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/WBD"" rel=""noopener noreferrer"" target=""_blank"">WBD</a>) debuting Tuesday, promises to unmask  one of the richest and most mysterious figures on the planet: the creator of <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/bitcoin-ether-etf-solana-xrp-sec-1851664387"" rel=""noopener noreferrer"" target=""_blank"">Bitcoin</a>. </p><p><a href=""https://qz.com/hbo-documentary-bitcoin-creator-satoshi-nakamoto-1851666819"">Read more...</a></p>","[""bitcoin"", ""hbo"", ""craig wright"", ""nakamoto"", ""satoshi nakamoto"", ""money electric the bitcoin mystery"", ""blockchain"", ""cypherpunks"", ""decentralization"", ""draftbitcoin the good the bad and everything in between"", ""leonard harris"", ""entertainment culture"", ""cullen hoback"", ""len sassaman"", ""sassaman"", ""adam back"", ""into the storm"", ""cryptocurrency""]","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/24a7fc9a9e3fa9eac8b8381fae5cb121.jpg"
110,"Martin Shkreli can't escape his $64 million fine","https://qz.com/supreme-court-martin-shkreli-fine-1851666753","2024-10-07 15:46:00","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/b0e9f120d2b5ffca2843f12513c320e6.jpg"" /><p>The U.S. Supreme Court decided on Monday not to take up Martin Shkreli’s appeal of a $64.6 million penalty he received after raising the price of a lifesaving drug by more than 4,000% during his time as a pharma CEO.<br /></p><p><a href=""https://qz.com/supreme-court-martin-shkreli-fine-1851666753"">Read more...</a></p>","[""martin shkreli"", ""daraprim"", ""health medical pharma"", ""lina khan"", ""denise cote"", ""federal trade commission"", ""pharmaceuticals policy"", ""u s federal"", ""law crime"", ""pyrimethamine"", ""pharmaceutical industry in china"", ""vyera pharmaceuticals"", ""turing pharmaceuticals""]","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/b0e9f120d2b5ffca2843f12513c320e6.jpg"
111,"Red Lobster's new CEO admits it: 'Endless Shrimp' was a disaster","https://qz.com/red-lobster-ceo-endless-shrimp-disaster-1851666647","2024-10-07 15:16:00","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/a32342112a9412fc3a28da54536488c1.jpg"" /><p>Red Lobster’s new CEO, Damola Adamolekun, boldly declared the “Endless Shrimp” promotion a failure, citing its significant strain on the restaurant’s operations.<br /></p><p><a href=""https://qz.com/red-lobster-ceo-endless-shrimp-disaster-1851666647"">Read more...</a></p>","[""endless shrimp"", ""shrimp"", ""lobster"", ""red lobster"", ""endless"", ""business finance"", ""decapods"", ""edible crustaceans"", ""damola adamolekun"", ""adamolekun"", ""seafood""]","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/a32342112a9412fc3a28da54536488c1.jpg"
112,"Fisker is dead. But its legal problems are very much alive","https://qz.com/fisker-bankruptcy-sec-subpoena-legal-troubles-evs-1851666707","2024-10-07 14:59:48","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/5b0864996a408a33512354c4299d853d.png"" /><p><a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/fisker-ocean-owners-are-no-longer-marooned-as-new-servi-1851659156"">Sure, Fisker is dead</a>, but<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/fisker-is-dead-and-heres-why-1851546063""> its legal problems aren’t going</a> away anytime soon. The troubled automaker is now facing multiple subpoenas from the <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/comedy-of-errors-led-to-fisker-s-bankruptcy-1851550234"">Securities and Exchange Commission</a> after filing for bankruptcy protection back in June because it burned through too much cash trying to ramp up <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/this-bricked-fisker-ocean-only-needed-a-100-part-to-ru-1851653918"">Ocean EV</a> production.<br /></p><p><a href=""https://qz.com/fisker-bankruptcy-sec-subpoena-legal-troubles-evs-1851666707"">Read more...</a></p>","[""fisker"", ""fisker inc"", ""fisker karma"", ""subpoena"", ""henrik fisker"", ""law crime"", ""securities and exchange commission"", ""bankruptcy""]","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/5b0864996a408a33512354c4299d853d.png"
113,"Donald Trump would balloon the federal debt by twice as much as Kamala Harris, report says","https://qz.com/donald-trump-kamala-harris-federal-debt-crfb-1851666579","2024-10-07 14:51:11","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/70bb85f239d4315025d3266bd8e9c0f8.jpg"" /><p>Regardless of whether Former President Donald Trump or Vice President Kamala Harris becomes the next president of the United States, there’s at least one clear loser —  deficit hawks. </p><p><a href=""https://qz.com/donald-trump-kamala-harris-federal-debt-crfb-1851666579"">Read more...</a></p>","[""kamala harris"", ""donald trump"", ""national debt of the united states"", ""economy of the united states"", ""business finance"", ""american rescue plan act"", ""joe biden"", ""jamie dimon"", ""citadel"", ""united states fiscal cliff"", ""tax cuts and jobs act"", ""committee for a responsible federal budget"", ""ken griffin"", ""presidency of barack obama"", ""united states federal budget"", ""political debates about the united states federal budget""]","https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/70bb85f239d4315025d3266bd8e9c0f8.jpg"
